EXP HEAD,DESCRIPTION,SCHOOL,YEAR,CATEGORY,VALUE
BA4000,& MAINT PROP EXT PARTIES,CHARLESTON ACADEMY,1718,RPRS,487.26
AA1001,BASIC PAY,CHARLESTON ACADEMY,1718,APT&C,78004.24
AA1100,PERMANENT  BASIC PAY,CHARLESTON ACADEMY,1718,TEACHERS,1963007.44
AA1101,COVER BASIC PAY,CHARLESTON ACADEMY,1718,SUPPLY,91884.74
AA1103,STAFF EDUCATION BASIC PAY,CHARLESTON ACADEMY,1718,AUX,15696.72
AA1110,TECH'N BASIC PAY,CHARLESTON ACADEMY,1718,LABORATORY,56804.68
AB1000,NONTEACHERS,CHARLESTON ACADEMY,1718,NI,10757.89
AB1100,PERMANENT TEACHERS,CHARLESTON ACADEMY,1718,NI,211777.91
AB1101,SUPPLY COVER,CHARLESTON ACADEMY,1718,NI,7104.18
AC1000,NON TEACHERS,CHARLESTON ACADEMY,1718,SUPERANN,21872.09
AC1100,PERMANENT TEACHERS,CHARLESTON ACADEMY,1718,SUPERANN,300454.98
AC1101,SUPPLY COVER,CHARLESTON ACADEMY,1718,SUPERANN,8948.89
AE1600,,CHARLESTON ACADEMY,1718,MISCELLANEOUS,-3.85
AH1000,COURSES,CHARLESTON ACADEMY,1718,TRAINING,1300.0
AH1010,DEVELOPMENT,CHARLESTON ACADEMY,1718,STAFF,3672.93
AS1000,LEVY COST,CHARLESTON ACADEMY,1718,APPRENTICESHIP,10997.52
BA3000,CLIENT EXTERNAL PARTIES,CHARLESTON ACADEMY,1718,MAINT,12008.84
BA4000,& MAINT PROP EXT PARTIES,CHARLESTON ACADEMY,1718,RPRS,8073.42
BB2000,CHARGES,CHARLESTON ACADEMY,1718,ELECTRICITY,57937.75
BB3000,CHARGES,CHARLESTON ACADEMY,1718,GAS,44260.56
BD1000,,CHARLESTON ACADEMY,1718,RATES,186960.0
BE1000,CHARGES,CHARLESTON ACADEMY,1718,WATER,22503.84
BH2000,MATERIALS/EQUIPMENT,CHARLESTON ACADEMY,1718,CLEANING,3735.73
BJ1000,MAINTENANCE  CONTRACT,CHARLESTON ACADEMY,1718,GROUNDS,2877.0
CA1000,,CHARLESTON ACADEMY,1718,DERV,1385.32
CA1001,,CHARLESTON ACADEMY,1718,PETROL,92.34
CA1003,OIL,CHARLESTON ACADEMY,1718,GAS,198.71
CB1006,HIRE CONT CHG FROM FLEET,CHARLESTON ACADEMY,1718,INT,9193.82
CB1007,MAINT O/CHG FROM FLEET,CHARLESTON ACADEMY,1718,VEHICLE,3130.15
CC1000,TRAVEL,CHARLESTON ACADEMY,1718,EDUCATIONAL,275.57
CC2000,HIRE,CHARLESTON ACADEMY,1718,CAR,444.22
CD1000,,CHARLESTON ACADEMY,1718,FARES,132.6
CE1000,,CHARLESTON ACADEMY,1718,INSURANCEVEHICLES,63.83
CF1000,TRAVEL,CHARLESTON ACADEMY,1718,COURSES,138.63
CF1001,TRAVEL,CHARLESTON ACADEMY,1718,CONFERENCE,56.2
CF1002,TRAVEL,CHARLESTON ACADEMY,1718,TRAINEE,73.97
CF1004,MILEAGE  NON TAXABLE,CHARLESTON ACADEMY,1718,TRAVEL,728.14
DA1000,PURCHASE,CHARLESTON ACADEMY,1718,EQUIPMENT,28341.21
DA2040,REPAIRS,CHARLESTON ACADEMY,1718,EQUIPMENT,890.46
DA4028,MACHINE SUPPLIES/RENT,CHARLESTON ACADEMY,1718,VENDING,566.6
DA4550,SUPPLIES,CHARLESTON ACADEMY,1718,CLASSROOM,109.35
DB2010,,CHARLESTON ACADEMY,1718,FOOD,505.59
DB3000,MEETINGS/TRAINING,CHARLESTON ACADEMY,1718,CATERING,321.15
DB3010,& HOSPITALITY,CHARLESTON ACADEMY,1718,MEALS,82.79
DB3030,,CHARLESTON ACADEMY,1718,HOSPITALITY,563.73
DC1000,CLOTHING,CHARLESTON ACADEMY,1718,PROTECTIVE,254.0
DC3000,NON STAFF,CHARLESTON ACADEMY,1718,CLOTHING,72.0
DD1000,,CHARLESTON ACADEMY,1718,PRINTING,136.53
DD3003,COSTS  MONO,CHARLESTON ACADEMY,1718,MPS,11867.98
DD3004,COSTS  COLOUR,CHARLESTON ACADEMY,1718,MPS,2855.52
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1718,BOOKS,-250.0
DF4001,CHARGES CORE SUPPLIER,CHARLESTON ACADEMY,1718,ICT,283.61
DF7000,,CHARLESTON ACADEMY,1718,POSTAGES,1235.79
DF9000,TELEPHONES RENTAL,CHARLESTON ACADEMY,1718,LANDLINE,3407.7
DF9010,PHONE LINE RENTAL,CHARLESTON ACADEMY,1718,MOBILE,261.71
DF9015,PHONE USAGE COSTS,CHARLESTON ACADEMY,1718,MOBILE,3.39
DG1000,,CHARLESTON ACADEMY,1718,ACCOMMODATION,379.13
DK9010,FUND,CHARLESTON ACADEMY,1718,SCHOOL,335.52
DK9500,SUPPLIES,CHARLESTON ACADEMY,1718,MISCELLANEOUS,17.9
EE1200,QUALIFICATIONS AUTHORITY,CHARLESTON ACADEMY,1718,SCOTT,60348.45
FA3000,FUNDS FOR SCHOOLS,CHARLESTON ACADEMY,1718,PROJECT,33.42
KC1936,FEES/CHARGES,CHARLESTON ACADEMY,1718,OTHER,-686.0
XH1050,ACCOUNT BALANCE,CHARLESTON ACADEMY,1718,REVENUE,-42394.43
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1718,BOOKS,9634.37
AH1010,DEVELOPMENT,CHARLESTON ACADEMY,1718,STAFF,7411.86
DA4550,SUPPLIES,CHARLESTON ACADEMY,1718,CLASSROOM,639.19
KE3000,FROM WITHIN HLAND CNCL,CHARLESTON ACADEMY,1718,INCOME,-5386.0
AH1010,DEVELOPMENT,CHARLESTON ACADEMY,1718,STAFF,125.0
CD1000,,CHARLESTON ACADEMY,1718,FARES,52.7
KB3001,OTHER PUBLIC BODIES,CHARLESTON ACADEMY,1718,GRANTS,-1000.0
DA1000,PURCHASE,CHARLESTON ACADEMY,1718,EQUIPMENT,-33.99
DA4551,& CRAFT SUPPLIES,CHARLESTON ACADEMY,1718,ART,1923.73
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1718,BOOKS,93.54
DA4555,SUPPLIES,CHARLESTON ACADEMY,1718,SCIENTIFIC,338.76
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1718,BOOKS,656.45
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1718,BOOKS,171.42
DA4555,SUPPLIES,CHARLESTON ACADEMY,1718,SCIENTIFIC,136.5
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1718,BOOKS,306.21
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1718,BOOKS,3113.82
DA1000,PURCHASE,CHARLESTON ACADEMY,1718,EQUIPMENT,65.45
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1718,BOOKS,946.2
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1718,BOOKS,1112.63
DA1000,PURCHASE,CHARLESTON ACADEMY,1718,EQUIPMENT,849.46
