EXP HEAD,DEPT,SCHOOL,SCHOOL CODE,DESCRIPTION,YEAR,VALUE
BA4000,000,CHARLESTON ACADEMY,ND,RPRS&MAINT PROP EXT PARTIES,1718,487.26
AA1001,A10,CHARLESTON ACADEMY,EM,APT&C BASIC PAY,1718,78004.24
AA1100,A10,CHARLESTON ACADEMY,EM,TEACHERS PERMANENT BASIC PAY,1718,1963007.44
AA1101,A10,CHARLESTON ACADEMY,EM,SUPPLY COVER BASIC PAY,1718,91884.74
AA1103,A10,CHARLESTON ACADEMY,EM,AUX STAFF EDUCATION BASIC PAY,1718,15696.72
AA1110,A10,CHARLESTON ACADEMY,EM,LABORATORY TECH'N BASIC PAY,1718,56804.68
AB1000,A10,CHARLESTON ACADEMY,EM,NI NONTEACHERS,1718,10757.89
AB1100,A10,CHARLESTON ACADEMY,EM,NI PERMANENT TEACHERS,1718,211777.91
AB1101,A10,CHARLESTON ACADEMY,EM,NI SUPPLY COVER,1718,7104.18
AC1000,A10,CHARLESTON ACADEMY,EM,SUPERANN NON TEACHERS,1718,21872.09
AC1100,A10,CHARLESTON ACADEMY,EM,SUPERANN PERMANENT TEACHERS,1718,300454.98
AC1101,A10,CHARLESTON ACADEMY,EM,SUPERANN SUPPLY COVER,1718,8948.89
AE1600,A10,CHARLESTON ACADEMY,EM,MISCELLANEOUS,1718,-3.85
AH1000,A10,CHARLESTON ACADEMY,EM,TRAINING COURSES,1718,1300.0
AH1010,A10,CHARLESTON ACADEMY,EM,STAFF DEVELOPMENT,1718,3047.98
AS1000,A10,CHARLESTON ACADEMY,EM,APPRENTICESHIP LEVY COST,1718,10997.52
BA3000,A10,CHARLESTON ACADEMY,EM,MAINT CLIENT EXTERNAL PARTIES,1718,11933.84
BA4000,A10,CHARLESTON ACADEMY,EM,RPRS&MAINT PROP EXT PARTIES,1718,8073.42
BB2000,A10,CHARLESTON ACADEMY,EM,ELECTRICITY CHARGES,1718,57937.75
BB3000,A10,CHARLESTON ACADEMY,EM,GAS CHARGES,1718,44260.56
