EXP HEAD,DEPT,SCHOOL,CATEGORY,SCHOOL CODE,DESCRIPTION,YEAR,VALUE,TEACHERS,PUPIL ROLL,ASN PUPILS,ATTENDANCE RATE
AH1010,A21,ALNESS ACADEMY,STAFF,ADD FUNDS,DEVELOPMENT,1718,172.59,38.8,382,,
KE3000,A21,ALNESS ACADEMY,INCOME,ADD FUNDS,FROM WITHIN HLAND CNCL,1718,-3086.0,38.8,382,,
DA4550,A11,ALNESS ACADEMY,CLASSROOM,ADMIN,SUPPLIES,1718,27.32,38.8,382,,
DD4001,A11,ALNESS ACADEMY,BOOKS,ADMIN,TEXT BOOKS/STATIONERY,1718,692.57,38.8,382,,
DA4550,A50,ALNESS ACADEMY,CLASSROOM,ART,SUPPLIES,1718,575.09,38.8,382,,
DA4551,A50,ALNESS ACADEMY,ART&CRAFT,ART,SUPPLIES,1718,2780.31,38.8,382,,
DD4001,A50,ALNESS ACADEMY,BOOKS,ART,TEXT BOOKS/STATIONERY,1718,623.86,38.8,382,,
AS1000,A52,ALNESS ACADEMY,APPRENTICESHIP,BUSINESS,LEVY COST,1718,26.0,38.8,382,,
DD4001,A52,ALNESS ACADEMY,BOOKS,BUSINESS,TEXT BOOKS/STATIONERY,1718,166.27,38.8,382,,
AA1100,A09,ALNESS ACADEMY,TEACHERS,DGM,PERMANENT  BASIC PAY,1718,37923.09,38.8,382,,
AB1100,A09,ALNESS ACADEMY,NI,DGM,PERMANENT TEACHERS,1718,4123.15,38.8,382,,
AC1100,A09,ALNESS ACADEMY,SUPERANN,DGM,PERMANENT TEACHERS,1718,6394.7,38.8,382,,
AS1000,A09,ALNESS ACADEMY,APPRENTICESHIP,DGM,LEVY COST,1718,189.59,38.8,382,,
AA1001,A10,ALNESS ACADEMY,APT&C,EM,BASIC PAY,1718,57962.17,38.8,382,,
AA1100,A10,ALNESS ACADEMY,TEACHERS,EM,PERMANENT  BASIC PAY,1718,1204282.56,38.8,382,,
AA1101,A10,ALNESS ACADEMY,SUPPLY,EM,COVER BASIC PAY,1718,33775.57,38.8,382,,
AA1110,A10,ALNESS ACADEMY,LABORATORY,EM,TECH'N BASIC PAY,1718,31187.98,38.8,382,,
AA1512,A10,ALNESS ACADEMY,CONTRACT,EM,PAYMENTS,1718,3100.0,38.8,382,,
AB1000,A10,ALNESS ACADEMY,NI,EM,NONTEACHERS,1718,6199.66,38.8,382,,
AB1100,A10,ALNESS ACADEMY,NI,EM,PERMANENT TEACHERS,1718,130640.58,38.8,382,,
AB1101,A10,ALNESS ACADEMY,NI,EM,SUPPLY COVER,1718,3217.42,38.8,382,,
AC1000,A10,ALNESS ACADEMY,SUPERANN,EM,NON TEACHERS,1718,15837.12,38.8,382,,
AC1100,A10,ALNESS ACADEMY,SUPERANN,EM,PERMANENT TEACHERS,1718,199578.62,38.8,382,,
AC1101,A10,ALNESS ACADEMY,SUPERANN,EM,SUPPLY COVER,1718,5527.58,38.8,382,,
AE1600,A10,ALNESS ACADEMY,MISCELLANEOUS,EM,,1718,950.0,38.8,382,,
AH1000,A10,ALNESS ACADEMY,TRAINING,EM,COURSES,1718,1539.1,38.8,382,,
