SEEDCODE,LOCAL AUTHORITY,SCHOOL TYPE,SCHOOL,TEACHERS,PUPIL ROLL,ASN PUPILS,ATTENDANCE RATE,YEAR
5237521,ABERDEEN CITY,PRIMARY,ABBOTSWELL SCHOOL,15.7,229,139,91.64,2223
5237629,ABERDEEN CITY,PRIMARY,AIRYHALL SCHOOL,20.1,368,97,95.67,2223
5237823,ABERDEEN CITY,PRIMARY,ASHLEY ROAD SCHOOL,20.9,440,67,94.82,2223
5234026,ABERDEEN CITY,PRIMARY,BRAEHEAD PRIMARY SCHOOL,15.9,300,114,93.83,2223
5238129,ABERDEEN CITY,PRIMARY,BRAMBLE BRAE PRIMARY SCHOOL,8.9,132,86,86.12,2223
1002929,ABERDEEN CITY,PRIMARY,BRIMMOND SCHOOL,21.4,440,216,92.32,2223
5238226,ABERDEEN CITY,PRIMARY,BROOMHILL PRIMARY SCHOOL,23.0,453,69,94.93,2223
5246423,ABERDEEN CITY,PRIMARY,CHARLESTON SCHOOL,15.5,250,91,93.5,2223
5238625,ABERDEEN CITY,PRIMARY,CORNHILL PRIMARY SCHOOL,23.4,414,210,90.93,2223
1004247,ABERDEEN CITY,PRIMARY,COUNTESSWELLS SCHOOL,11.6,162,50,91.99,2223
5234522,ABERDEEN CITY,PRIMARY,CULTER SCHOOL,16.8,283,74,94.23,2223
5234727,ABERDEEN CITY,PRIMARY,CULTS PRIMARY SCHOOL,30.4,630,204,94.59,2223
5246326,ABERDEEN CITY,PRIMARY,DANESTONE PRIMARY SCHOOL,14.4,256,35,94.88,2223
5234921,ABERDEEN CITY,PRIMARY,DYCE PRIMARY SCHOOL,25.4,434,123,91.37,2223
5239427,ABERDEEN CITY,PRIMARY,FERNIELEA SCHOOL,15.6,252,71,90.53,2223
5239524,ABERDEEN CITY,PRIMARY,FERRYHILL PRIMARY SCHOOL,21.1,447,24,93.43,2223
5246121,ABERDEEN CITY,PRIMARY,FOREHILL PRIMARY SCHOOL,13.0,232,34,95.05,2223
5241626,ABERDEEN CITY,PRIMARY,GILCOMSTOUN PRIMARY SCHOOL,19.4,293,47,90.87,2223
5235529,ABERDEEN CITY,PRIMARY,GLASHIEBURN PRIMARY SCHOOL,16.9,220,100,93.44,2223
5248922,ABERDEEN CITY,PRIMARY,GREENBRAE PRIMARY SCHOOL,19.3,363,19,94.66,2223
5239729,ABERDEEN CITY,PRIMARY,HANOVER STREET PRIMARY SCHOOL,14.8,258,135,91.76,2223
5239826,ABERDEEN CITY,PRIMARY,HAZLEHEAD PRIMARY SCHOOL,17.3,335,88,94.74,2223
5230829,ABERDEEN CITY,PRIMARY,HEATHRYBURN SCHOOL,18.9,310,133,90.16,2223
5239923,ABERDEEN CITY,PRIMARY,HOLY FAMILY RC PRIMARY SCHOOL,9.3,168,135,93.85,2223
5245923,ABERDEEN CITY,PRIMARY,KAIMHILL SCHOOL,21.7,392,215,91.97,2223
5241820,ABERDEEN CITY,PRIMARY,KINGSFORD SCHOOL,16.5,328,77,91.53,2223
5235227,ABERDEEN CITY,PRIMARY,KINGSWELLS SCHOOL,23.4,396,105,95.76,2223
5240522,ABERDEEN CITY,PRIMARY,KIRKHILL PRIMARY SCHOOL,18.5,295,72,89.89,2223
5240425,ABERDEEN CITY,PRIMARY,KITTYBREWSTER SCHOOL,18.4,302,173,89.32,2223
5246024,ABERDEEN CITY,PRIMARY,LOIRSTON PRIMARY SCHOOL,23.3,353,118,92.73,2223
5241723,ABERDEEN CITY,PRIMARY,MANOR PARK SCHOOL,15.5,235,165,88.06,2223
5235928,ABERDEEN CITY,PRIMARY,MIDDLETON PARK SCHOOL,10.0,160,45,94.48,2223
5240026,ABERDEEN CITY,PRIMARY,MILE END SCHOOL,34.9,572,144,93.47,2223
5235324,ABERDEEN CITY,PRIMARY,MILLTIMBER PRIMARY SCHOOL,18.4,310,39,95.22,2223
5241022,ABERDEEN CITY,PRIMARY,MUIRFIELD SCHOOL,12.4,170,66,90.43,2223
5241227,ABERDEEN CITY,PRIMARY,QUARRYHILL SCHOOL,17.9,309,102,90.74,2223
5230420,ABERDEEN CITY,PRIMARY,RIVERBANK SCHOOL,18.6,317,160,87.7,2223
5234123,ABERDEEN CITY,PRIMARY,SCOTSTOWN PRIMARY SCHOOL,11.8,176,77,91.91,2223
5241529,ABERDEEN CITY,PRIMARY,SEATON PRIMARY SCHOOL,13.5,202,138,91.27,2223
5241421,ABERDEEN CITY,PRIMARY,SKENE SQUARE SCHOOL,22.4,431,254,91.73,2223
5241928,ABERDEEN CITY,PRIMARY,ST JOSEPHS SCHOOL,22.2,400,65,94.64,2223
5242126,ABERDEEN CITY,PRIMARY,ST PETER'S RC PRIMARY SCHOOL,13.6,203,118,92.62,2223
5235421,ABERDEEN CITY,PRIMARY,STONEYWOOD SCHOOL,19.1,408,148,91.99,2223
5242223,ABERDEEN CITY,PRIMARY,SUNNYBANK SCHOOL,21.4,336,225,89.35,2223
5242428,ABERDEEN CITY,PRIMARY,TULLOS PRIMARY SCHOOL,20.3,305,147,85.91,2223
5242827,ABERDEEN CITY,PRIMARY,WALKER ROAD SCHOOL,22.9,327,154,88.72,2223
5230624,ABERDEEN CITY,PRIMARY,WESTPARK SCHOOL,15.0,222,53,90.93,2223
5243122,ABERDEEN CITY,PRIMARY,WOODSIDE PRIMARY SCHOOL,19.8,317,93,89.23,2223
5244439,ABERDEEN CITY,SECONDARY,ABERDEEN GRAMMAR SCHOOL,107.4,1205,470,92.04,2223
5235634,ABERDEEN CITY,SECONDARY,BRIDGE OF DON ACADEMY,59.0,770,401,89.83,2223
5234034,ABERDEEN CITY,SECONDARY,BUCKSBURN ACADEMY,83.4,907,513,91.56,2223
5235839,ABERDEEN CITY,SECONDARY,CULTS ACADEMY,93.6,1275,312,93.1,2223
5243335,ABERDEEN CITY,SECONDARY,DYCE ACADEMY,56.2,689,311,89.05,2223
5243238,ABERDEEN CITY,SECONDARY,HARLAW ACADEMY,82.0,1075,607,88.71,2223
5243432,ABERDEEN CITY,SECONDARY,HAZLEHEAD ACADEMY,82.9,1074,323,89.49,2223
1004166,ABERDEEN CITY,SECONDARY,LOCHSIDE ACADEMY,88.5,1201,596,87.39,2223
5244234,ABERDEEN CITY,SECONDARY,NORTHFIELD ACADEMY,60.6,747,421,83.22,2223
5246237,ABERDEEN CITY,SECONDARY,OLDMACHAR ACADEMY,65.2,923,401,92.75,2223
5246431,ABERDEEN CITY,SECONDARY,ST MACHAR ACADEMY,73.6,1031,659,88.04,2223
1004140,ABERDEEN CITY,SPECIAL,ORCHARD BRAE SCHOOL,29.8,119,119,86.5,2223
5245044,ABERDEEN CITY,SPECIAL,SCHOOL FOR THE DEAF,6.3,11,11,91.53,2223
5212227,ABERDEENSHIRE,PRIMARY,ABERCHIRDER PRIMARY SCHOOL,6.7,110,62,90.58,2223
5256127,ABERDEENSHIRE,PRIMARY,ABOYNE PRIMARY SCHOOL,16.5,240,113,91.89,2223
5232422,ABERDEENSHIRE,PRIMARY,ALEHOUSEWELLS PRIMARY SCHOOL,8.1,128,50,92.32,2223
5224020,ABERDEENSHIRE,PRIMARY,ALFORD PRIMARY SCHOOL,21.0,343,154,94.74,2223
5251524,ABERDEENSHIRE,PRIMARY,ARDUTHIE SCHOOL,20.7,389,144,94.81,2223
5224128,ABERDEENSHIRE,PRIMARY,ARNAGE PRIMARY SCHOOL,2.7,27,7,94.12,2223
5249821,ABERDEENSHIRE,PRIMARY,AUCHENBLAE PRIMARY SCHOOL,7.4,97,29,93.9,2223
5215420,ABERDEENSHIRE,PRIMARY,AUCHNAGATT PRIMARY,4.2,72,36,94.56,2223
5225922,ABERDEENSHIRE,PRIMARY,AUCHTERELLON PRIMARY SCHOOL,19.0,334,157,94.91,2223
5215528,ABERDEENSHIRE,PRIMARY,AUCHTERLESS PRIMARY SCHOOL,5.3,59,40,94.97,2223
5256224,ABERDEENSHIRE,PRIMARY,BALLATER PRIMARY SCHOOL,4.3,62,31,92.33,2223
5224225,ABERDEENSHIRE,PRIMARY,BALMEDIE PRIMARY SCHOOL,21.2,382,174,93.99,2223
5257824,ABERDEENSHIRE,PRIMARY,BANCHORY PRIMARY SCHOOL,24.1,430,209,94.63,2223
5249023,ABERDEENSHIRE,PRIMARY,BANCHORYDEVENICK SCHOOL,2.7,35,18,94.64,2223
5212324,ABERDEENSHIRE,PRIMARY,BANFF PRIMARY SCHOOL,22.9,296,186,90.0,2223
5224322,ABERDEENSHIRE,PRIMARY,BARTHOL CHAPEL PRIMARY SCHOOL,3.0,24,9,96.79,2223
5249120,ABERDEENSHIRE,PRIMARY,BERVIE PRIMARY SCHOOL,14.8,229,97,94.84,2223
5215625,ABERDEENSHIRE,PRIMARY,BODDAM PRIMARY SCHOOL,7.6,102,44,92.72,2223
5212421,ABERDEENSHIRE,PRIMARY,BRACODEN PRIMARY SCHOOL,3.0,37,14,90.88,2223
5256429,ABERDEENSHIRE,PRIMARY,BRAEMAR SCHOOL,2.9,31,12,92.74,2223
5215927,ABERDEENSHIRE,PRIMARY,BUCHANHAVEN PRIMARY SCHOOL,23.8,426,256,91.06,2223
5216028,ABERDEENSHIRE,PRIMARY,BURNHAVEN PRIMARY SCHOOL,4.3,34,16,93.85,2223
5224527,ABERDEENSHIRE,PRIMARY,CAIRNEY PRIMARY SCHOOL,2.0,22,6,93.84,2223
5249325,ABERDEENSHIRE,PRIMARY,CATTERLINE PRIMARY SCHOOL,3.3,46,18,95.26,2223
5224721,ABERDEENSHIRE,PRIMARY,CHAPEL OF GARIOCH,3.0,29,9,96.3,2223
5218624,ABERDEENSHIRE,PRIMARY,CLERKHILL PRIMARY SCHOOL,22.6,436,279,93.01,2223
5224926,ABERDEENSHIRE,PRIMARY,CLUNY SCHOOL,5.5,77,38,94.37,2223
5225221,ABERDEENSHIRE,PRIMARY,CRAIGIEVAR SCHOOL,3.4,35,15,92.33,2223
5249422,ABERDEENSHIRE,PRIMARY,CRATHES PRIMARY SCHOOL,3.0,41,19,95.43,2223
5256623,ABERDEENSHIRE,PRIMARY,CRATHIE PRIMARY SCHOOL,1.9,10,5,93.81,2223
5216125,ABERDEENSHIRE,PRIMARY,CRIMOND SCHOOL,6.4,91,61,93.2,2223
5232627,ABERDEENSHIRE,PRIMARY,CROMBIE PRIMARY SCHOOL,19.2,326,115,95.07,2223
5216222,ABERDEENSHIRE,PRIMARY,CRUDIE PRIMARY SCHOOL,3.1,30,18,94.38,2223
5225329,ABERDEENSHIRE,PRIMARY,CULTERCULLEN PRIMARY SCHOOL,4.4,46,21,96.15,2223
5221927,ABERDEENSHIRE,PRIMARY,DALES PARK PRIMARY SCHOOL,23.4,329,168,91.51,2223
5225426,ABERDEENSHIRE,PRIMARY,DAVIOT PRIMARY SCHOOL,5.2,87,45,94.37,2223
5225523,ABERDEENSHIRE,PRIMARY,DRUMBLADE PRIMARY SCHOOL,2.9,48,17,94.76,2223
5256720,ABERDEENSHIRE,PRIMARY,DRUMOAK PRIMARY SCHOOL,8.8,131,51,94.02,2223
5225620,ABERDEENSHIRE,PRIMARY,DUNECHT SCHOOL,4.6,52,20,95.24,2223
5249627,ABERDEENSHIRE,PRIMARY,DUNNOTTAR PRIMARY SCHOOL,8.6,146,77,94.49,2223
5251729,ABERDEENSHIRE,PRIMARY,DURRIS PRIMARY SCHOOL,3.0,43,18,94.42,2223
5225728,ABERDEENSHIRE,PRIMARY,ECHT SCHOOL,4.3,52,11,95.31,2223
5225825,ABERDEENSHIRE,PRIMARY,ELLON PRIMARY SCHOOL,25.1,316,127,92.66,2223
5233224,ABERDEENSHIRE,PRIMARY,ELRICK PRIMARY SCHOOL,17.0,352,123,94.85,2223
5216427,ABERDEENSHIRE,PRIMARY,FETTERANGUS PRIMARY SCHOOL,3.0,38,12,95.31,2223
5249724,ABERDEENSHIRE,PRIMARY,FETTERCAIRN PRIMARY SCHOOL,5.6,85,18,93.43,2223
5216524,ABERDEENSHIRE,PRIMARY,FINTRY PRIMARY SCHOOL,2.1,24,19,93.53,2223
5256828,ABERDEENSHIRE,PRIMARY,FINZEAN PRIMARY SCHOOL,2.9,33,22,92.97,2223
5257921,ABERDEENSHIRE,PRIMARY,FISHERMOSS SCHOOL,14.8,266,139,93.74,2223
5212626,ABERDEENSHIRE,PRIMARY,FORDYCE PRIMARY SCHOOL,3.0,39,28,94.83,2223
5226120,ABERDEENSHIRE,PRIMARY,FORGUE PRIMARY,1.7,18,,96.08,2223
5226228,ABERDEENSHIRE,PRIMARY,FOVERAN PRIMARY SCHOOL,4.4,55,14,95.01,2223
5216923,ABERDEENSHIRE,PRIMARY,FRASERBURGH NORTH PRIMARY SCHOOL,7.8,96,82,89.99,2223
5217024,ABERDEENSHIRE,PRIMARY,FRASERBURGH SOUTH PARK SCHOOL,19.2,368,205,93.73,2223
5219922,ABERDEENSHIRE,PRIMARY,FYVIE SCHOOL,7.7,113,49,92.78,2223
5226422,ABERDEENSHIRE,PRIMARY,GLASS PRIMARY SCHOOL,1.7,15,,95.36,2223
5249929,ABERDEENSHIRE,PRIMARY,GLENBERVIE PRIMARY SCHOOL,4.8,63,24,95.48,2223
5226724,ABERDEENSHIRE,PRIMARY,GORDON PRIMARY SCHOOL,25.6,357,204,93.19,2223
5250021,ABERDEENSHIRE,PRIMARY,GOURDON PRIMARY SCHOOL,4.7,67,33,94.62,2223
5217229,ABERDEENSHIRE,PRIMARY,HATTON CRUDEN PRIMARY SCHOOL,7.3,96,51,94.4,2223
